,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run36
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:Q_LEARNING
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.3.228,10.129.4.253,10.129.2.231,10.128.4.130,10.129.2.230,10.131.3.229,10.129.4.254,10.128.4.131
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638394346.9200232
,,,,,,,,,STOP_TIME:1638394543.7497606
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
1019,4414495,2528000,585,436,3.25E-04,2.57E-02,018,2011-09-16
305,7822423,4826718,900,697,2.07E-04,3.59E-02,018,2011-09-16
631,12567769,7425646,1326,983,3.02E-04,5.02E-02,018,2011-09-16
372,10538283,6160171,1123,827,2.36E-04,4.08E-02,018,2011-09-16
567,8942845,5186309,964,704,2.04E-04,3.69E-02,018,2011-09-16
284,12574749,8227973,1531,1193,3.04E-04,7.97E-02,018,2011-09-16
364,12580519,7375330,1394,981,3.53E-04,4.65E-02,018,2011-09-16
254,11803356,7355528,1312,992,2.52E-04,3.00E-02,018,2011-09-16
993,8645698,5770652,1050,841,1.98E-04,3.96E-02,018,2011-09-16
482,8369268,3560436,961,510,2.10E-04,2.87E-02,018,2011-09-16
67,12572696,6157391,1449,873,2.09E-04,3.91E-02,018,2011-09-16
168,9855088,6020975,1145,851,1.94E-04,2.17E-02,018,2011-09-16
992,12582085,7043641,1341,968,3.23E-04,4.66E-02,018,2011-09-16
1013,12575648,7313390,1422,1047,3.89E-04,8.35E-02,018,2011-09-16
182,4973598,2506868,576,370,3.43E-04,1.15E-02,018,2011-09-16
900,12578953,7060538,2149,1423,1.86E-04,7.64E-02,018,2011-09-16
562,11906730,7260348,1327,1003,3.70E-04,4.75E-02,018,2011-09-16
69,12566793,3921050,1076,538,4.39E-04,3.25E-02,018,2011-09-16
754,7868798,1304846,610,196,2.75E-04,1.96E-02,018,2011-09-16
16,8616661,4043047,899,580,2.43E-04,2.63E-02,018,2011-09-16
170,12581848,5552482,1330,830,3.31E-04,2.69E-02,018,2011-09-16
456,7850189,4399650,836,613,2.23E-04,3.04E-02,018,2011-09-16
88,12580014,7497275,1349,1004,3.11E-04,4.01E-02,018,2011-09-16
81,12578853,6244120,1458,858,3.41E-04,3.91E-02,018,2011-09-16
226,12578920,5923668,1313,861,3.04E-04,2.54E-02,018,2011-09-16
548,7885140,4384916,824,596,1.91E-04,2.95E-02,018,2011-09-16
88,12580432,5644974,1380,768,2.01E-04,3.17E-02,018,2011-09-16
740,12576256,7810762,1393,1064,3.46E-04,3.97E-02,018,2011-09-16
80,7821631,4530797,816,608,2.41E-04,2.49E-02,018,2011-09-16
594,12573417,8016331,2772,1663,3.85E-04,1.35E-01,018,2011-09-16
303,8037800,3930957,932,651,3.94E-04,3.60E-02,018,2011-09-16
182,9721386,5669939,1708,1191,3.97E-04,3.27E-02,018,2011-09-16
759,7970996,5115849,1304,864,3.09E-04,3.78E-02,018,2011-09-16
1018,4492995,2915889,741,534,3.40E-04,2.74E-02,018,2011-09-16
919,4948742,549168,385,91,2.31E-04,1.48E-02,018,2011-09-16
998,11470619,1841249,889,236,1.85E-04,6.70E-02,018,2011-09-16
342,8548487,801801,644,112,2.54E-04,2.55E-02,018,2011-09-16
998,4956628,491916,367,74,3.96E-04,1.48E-02,018,2011-09-16
998,5698153,594772,544,126,3.65E-04,1.96E-02,018,2011-09-16
998,12581826,564301,877,72,3.40E-04,3.20E-02,018,2011-09-16
818,5772604,1383417,475,179,4.04E-04,1.67E-02,018,2011-09-16
881,6629899,815801,537,123,2.26E-04,1.53E-02,018,2011-09-16
998,10223838,825484,848,145,1.99E-04,3.11E-02,018,2011-09-16
250,7939989,995502,594,134,3.82E-04,1.37E-02,018,2011-09-16
624,12568033,684849,859,87,3.62E-04,4.83E-02,018,2011-09-16
227,4734554,349347,343,39,3.69E-04,7.95E-03,018,2011-09-16
493,7413382,1197076,627,229,1.94E-04,2.39E-02,018,2011-09-16
158,4352789,2541813,589,442,3.05E-04,1.28E-02,018,2011-09-17
305,12580304,5455183,1394,751,2.12E-04,4.42E-02,018,2011-09-17
674,12580039,7334647,1337,983,1.96E-04,4.04E-02,018,2011-09-17
259,11018454,6638932,1183,884,1.84E-04,4.28E-02,018,2011-09-17
64,8331103,4807443,899,650,3.14E-04,2.77E-02,018,2011-09-17
284,12579324,657485,1536,86,3.29E-04,2.12E-02,018,2011-09-17
364,12580519,0,1394,0,1.88E-04,1.77E-02,018,2011-09-17
254,11803356,0,1312,0,1.98E-04,1.15E-02,018,2011-09-17
993,8645698,0,1050,0,2.10E-04,1.39E-02,018,2011-09-17
482,8369268,0,961,0,2.25E-04,1.27E-02,018,2011-09-17
67,12572696,0,1449,0,1.92E-04,1.58E-02,018,2011-09-17
168,9855088,0,1145,0,1.97E-04,9.93E-03,018,2011-09-17
992,12582085,0,1341,0,2.10E-04,1.64E-02,018,2011-09-17
1013,12575648,0,1422,0,2.77E-04,1.71E-02,018,2011-09-17
182,4973598,0,576,0,1.73E-04,6.35E-03,018,2011-09-17
900,12574372,10366,2153,6,1.75E-04,2.55E-02,018,2011-09-17
932,11921581,7275199,1328,1004,2.04E-04,5.51E-02,018,2011-09-17
709,12566793,3921050,1076,538,2.74E-04,3.47E-02,018,2011-09-17
754,7868798,0,610,0,1.67E-04,8.31E-03,018,2011-09-17
16,8616661,0,899,0,2.78E-04,1.07E-02,018,2011-09-17
170,12581848,0,1330,0,2.27E-04,1.23E-02,018,2011-09-17
456,7850189,0,836,0,2.24E-04,1.16E-02,018,2011-09-17
88,12580014,0,1349,0,2.29E-04,1.48E-02,018,2011-09-17
81,12578853,0,1458,0,2.27E-04,1.53E-02,018,2011-09-17
226,12578920,0,1313,0,2.18E-04,1.11E-02,018,2011-09-17
548,7885140,0,824,0,1.98E-04,1.07E-02,018,2011-09-17
88,12580432,0,1380,0,2.74E-04,1.52E-02,018,2011-09-17
740,12576256,0,1393,0,1.82E-04,1.50E-02,018,2011-09-17
80,7821631,0,816,0,2.15E-04,9.78E-03,018,2011-09-17
594,12573417,0,2772,0,1.84E-04,3.01E-02,018,2011-09-17
303,8037800,0,932,0,2.12E-04,1.25E-02,018,2011-09-17
182,9715630,539,1703,2,2.63E-04,2.84E-02,018,2011-09-17
759,7970996,0,1304,0,2.17E-04,1.52E-02,018,2011-09-17
1018,4492995,0,741,0,3.37E-04,1.12E-02,018,2011-09-17
151,4948742,549168,385,91,2.03E-04,9.91E-03,018,2011-09-17
998,11470619,0,889,0,1.88E-04,1.18E-02,018,2011-09-17
342,8548487,0,644,0,1.98E-04,8.55E-03,018,2011-09-17
998,4956628,0,367,0,1.84E-04,5.76E-03,018,2011-09-17
998,5698153,0,544,0,1.82E-04,7.86E-03,018,2011-09-17
998,12581826,0,877,0,2.03E-04,1.13E-02,018,2011-09-17
562,5772604,1383381,475,178,1.87E-04,1.94E-02,018,2011-09-17
881,6629899,0,537,0,1.83E-04,6.74E-03,018,2011-09-17
998,10223838,0,848,0,1.82E-04,1.13E-02,018,2011-09-17
250,7939989,0,594,0,1.87E-04,5.92E-03,018,2011-09-17
624,12568033,0,859,0,1.82E-04,1.53E-02,018,2011-09-17
227,4734554,0,343,0,1.81E-04,4.20E-03,018,2011-09-17
493,7416716,38781,629,10,1.83E-04,1.03E-02,018,2011-09-17
714,4388415,2545078,585,436,3.50E-04,1.93E-02,018,2011-09-18
305,12581545,1259931,1355,152,1.91E-04,2.31E-02,018,2011-09-18
643,8306992,5310222,918,722,2.69E-04,2.84E-02,018,2011-09-18
509,12578502,7351953,1337,990,2.01E-04,4.80E-02,018,2011-09-18
734,6895321,4117129,740,556,1.77E-04,2.29E-02,018,2011-09-18
795,9345257,5405640,1012,731,3.41E-04,2.60E-02,018,2011-09-18
284,12580428,535317,1526,64,2.54E-04,2.26E-02,018,2011-09-18
396,12577177,7398488,1402,982,1.98E-04,4.62E-02,018,2011-09-18
761,12310449,7491719,1363,1006,1.88E-04,3.79E-02,018,2011-09-18
993,8645698,0,1050,0,1.96E-04,1.39E-02,018,2011-09-18
482,8369268,0,961,0,1.82E-04,1.24E-02,018,2011-09-18
67,12572696,0,1449,0,2.17E-04,1.51E-02,018,2011-09-18
168,9855088,0,1145,0,1.95E-04,1.06E-02,018,2011-09-18
992,12582085,0,1341,0,1.78E-04,1.67E-02,018,2011-09-18
1013,12575648,0,1422,0,2.09E-04,1.73E-02,018,2011-09-18
182,4973598,0,576,0,2.08E-04,6.27E-03,018,2011-09-18
900,12574238,11993,2153,7,1.90E-04,2.51E-02,018,2011-09-18
932,11921581,0,1328,0,2.10E-04,1.64E-02,018,2011-09-18
709,12566793,0,1076,0,1.82E-04,1.22E-02,018,2011-09-18
754,7868798,0,610,0,1.88E-04,7.98E-03,018,2011-09-18
16,8616661,0,899,0,2.28E-04,1.05E-02,018,2011-09-18
810,12581848,5552482,1330,830,3.27E-04,3.36E-02,018,2011-09-18
456,7850189,0,836,0,2.02E-04,1.13E-02,018,2011-09-18
88,12580014,0,1349,0,2.22E-04,1.37E-02,018,2011-09-18
81,12578853,0,1458,0,1.89E-04,1.51E-02,018,2011-09-18
226,12578920,0,1313,0,1.82E-04,1.08E-02,018,2011-09-18
548,7885140,0,824,0,1.79E-04,1.14E-02,018,2011-09-18
88,12580432,0,1380,0,1.73E-04,1.44E-02,018,2011-09-18
740,12576256,0,1393,0,2.01E-04,1.51E-02,018,2011-09-18
80,7821631,0,816,0,1.72E-04,9.30E-03,018,2011-09-18
594,12573417,0,2772,0,1.88E-04,3.07E-02,018,2011-09-18
303,8037800,0,932,0,2.26E-04,1.26E-02,018,2011-09-18
182,9715630,0,1703,0,2.88E-04,1.50E-02,018,2011-09-18
759,7970996,0,1304,0,2.92E-04,2.17E-02,018,2011-09-18
1018,4492995,0,741,0,3.43E-04,1.05E-02,018,2011-09-18
151,4948742,0,385,0,2.07E-04,4.95E-03,018,2011-09-18
998,11470619,0,889,0,3.22E-04,1.20E-02,018,2011-09-18
342,8548487,0,644,0,2.16E-04,9.33E-03,018,2011-09-18
998,4956628,0,367,0,1.99E-04,5.68E-03,018,2011-09-18
998,5698153,0,544,0,1.95E-04,7.66E-03,018,2011-09-18
998,12581826,0,877,0,1.94E-04,1.18E-02,018,2011-09-18
818,5772604,0,475,0,3.59E-04,6.37E-03,018,2011-09-18
881,6629899,0,537,0,2.01E-04,6.00E-03,018,2011-09-18
998,10223838,0,848,0,2.03E-04,1.10E-02,018,2011-09-18
250,7939989,0,594,0,2.13E-04,6.75E-03,018,2011-09-18
624,12568033,0,859,0,2.26E-04,1.24E-02,018,2011-09-18
227,4734554,0,343,0,2.35E-04,4.27E-03,018,2011-09-18
493,7435028,152524,630,44,2.00E-04,1.05E-02,018,2011-09-18
714,4388415,0,585,0,3.56E-04,8.96E-03,018,2011-09-19
305,12581545,0,1355,0,3.13E-04,2.07E-02,018,2011-09-19
643,8306992,0,918,0,5.35E-04,1.24E-02,018,2011-09-19
509,12578502,0,1337,0,5.25E-04,2.05E-02,018,2011-09-19
734,6895321,0,740,0,5.24E-04,1.04E-02,018,2011-09-19
795,9345257,0,1012,0,3.46E-04,1.25E-02,018,2011-09-19
284,12580428,0,1526,0,2.89E-04,1.88E-02,018,2011-09-19
396,12577177,0,1402,0,2.40E-04,1.70E-02,018,2011-09-19
761,12310449,0,1363,0,2.62E-04,1.60E-02,018,2011-09-19
993,8645698,0,1050,0,3.35E-04,1.38E-02,018,2011-09-19
482,8369268,0,961,0,2.39E-04,1.26E-02,018,2011-09-19
67,12572696,0,1449,0,3.28E-04,1.65E-02,018,2011-09-19
168,9855088,0,1145,0,2.73E-04,1.02E-02,018,2011-09-19
992,12582085,0,1341,0,2.63E-04,1.67E-02,018,2011-09-19
1013,12575648,0,1422,0,2.10E-04,1.70E-02,018,2011-09-19
182,4973598,0,576,0,2.41E-04,6.35E-03,018,2011-09-19
900,12574238,0,2153,0,2.47E-04,2.50E-02,018,2011-09-19
932,11921581,0,1328,0,2.17E-04,1.62E-02,018,2011-09-19
709,12566793,0,1076,0,1.92E-04,1.28E-02,018,2011-09-19
754,7868798,0,610,0,2.11E-04,7.72E-03,018,2011-09-19
16,8616661,0,899,0,2.41E-04,1.09E-02,018,2011-09-19
170,12581848,0,1330,0,2.21E-04,1.17E-02,018,2011-09-19
456,7850189,0,836,0,2.82E-04,1.14E-02,018,2011-09-19
88,12580014,0,1349,0,2.13E-04,1.48E-02,018,2011-09-19
81,12578853,0,1458,0,2.00E-04,1.54E-02,018,2011-09-19
226,12578920,0,1313,0,1.99E-04,1.18E-02,018,2011-09-19
548,7885140,0,824,0,1.98E-04,1.20E-02,018,2011-09-19
88,12580432,0,1380,0,2.15E-04,1.51E-02,018,2011-09-19
740,12576256,0,1393,0,2.09E-04,1.54E-02,018,2011-09-19
80,7821631,0,816,0,1.99E-04,9.80E-03,018,2011-09-19
594,12573417,0,2772,0,2.02E-04,3.22E-02,018,2011-09-19
303,8037800,0,932,0,2.02E-04,1.26E-02,018,2011-09-19
182,9715630,0,1703,0,2.07E-04,1.39E-02,018,2011-09-19
759,7970996,0,1304,0,2.16E-04,1.37E-02,018,2011-09-19
1018,4492995,0,741,0,1.88E-04,1.06E-02,018,2011-09-19
151,4948742,0,385,0,1.90E-04,4.89E-03,018,2011-09-19
998,11470619,0,889,0,2.05E-04,1.13E-02,018,2011-09-19
342,8548487,0,644,0,1.96E-04,1.14E-02,018,2011-09-19
998,4956628,0,367,0,2.53E-04,6.21E-03,018,2011-09-19
998,5698153,0,544,0,1.95E-04,7.96E-03,018,2011-09-19
998,12581826,0,877,0,1.87E-04,1.14E-02,018,2011-09-19
818,5772604,0,475,0,1.87E-04,1.02E-02,018,2011-09-19
881,6629899,0,537,0,3.73E-04,6.94E-03,018,2011-09-19
998,10223838,0,848,0,1.90E-04,1.13E-02,018,2011-09-19
250,7939989,0,594,0,2.08E-04,6.75E-03,018,2011-09-19
624,12568033,0,859,0,1.89E-04,1.18E-02,018,2011-09-19
227,4734554,0,343,0,1.89E-04,4.68E-03,018,2011-09-19
493,7435028,0,630,0,2.04E-04,9.21E-03,018,2011-09-19
797,4418597,2544658,586,435,3.01E-04,1.70E-02,018,2011-09-20
305,12574512,256978,1355,33,1.81E-04,1.94E-02,018,2011-09-20
792,12571966,7692145,1365,1033,2.08E-04,3.34E-02,018,2011-09-20
758,12577211,7351384,1345,990,1.79E-04,4.12E-02,018,2011-09-20
6,12578287,7294887,1362,993,2.41E-04,4.07E-02,018,2011-09-20
937,12579932,8076329,1531,1183,2.58E-04,5.47E-02,018,2011-09-20
332,12574242,7400460,1403,982,1.97E-04,4.83E-02,018,2011-09-20
1021,12079977,7427022,1337,999,4.20E-04,4.78E-02,018,2011-09-20
993,8645698,0,1050,0,3.94E-04,3.81E-02,018,2011-09-20
482,8369268,0,961,0,2.95E-04,1.27E-02,018,2011-09-20
67,12572696,0,1449,0,2.45E-04,1.55E-02,018,2011-09-20
168,9855088,0,1145,0,2.15E-04,1.03E-02,018,2011-09-20
992,12582085,0,1341,0,2.82E-04,1.64E-02,018,2011-09-20
1013,12575648,0,1422,0,2.24E-04,1.70E-02,018,2011-09-20
182,4973598,0,576,0,2.01E-04,5.68E-03,018,2011-09-20
900,12579454,1417787,2105,198,1.91E-04,3.09E-02,018,2011-09-20
445,12582077,7759497,1438,1100,1.96E-04,5.19E-02,018,2011-09-20
107,12575203,4581361,1122,620,3.62E-04,3.45E-02,018,2011-09-20
3,9044594,1304846,683,196,3.79E-04,2.62E-02,018,2011-09-20
16,8616661,0,899,0,3.63E-04,1.80E-02,018,2011-09-20
170,12581848,0,1330,0,2.53E-04,1.13E-02,018,2011-09-20
456,7850189,0,836,0,2.03E-04,1.22E-02,018,2011-09-20
88,12580014,0,1349,0,2.29E-04,1.33E-02,018,2011-09-20
81,12578928,751,1458,1,2.01E-04,1.48E-02,018,2011-09-20
226,12581968,543732,1318,70,2.73E-04,1.16E-02,018,2011-09-20
599,8638816,4882598,902,657,1.99E-04,3.30E-02,018,2011-09-20
88,12580432,0,1380,0,2.15E-04,1.39E-02,018,2011-09-20
740,12576256,0,1393,0,1.98E-04,1.49E-02,018,2011-09-20
80,7821631,0,816,0,1.96E-04,9.35E-03,018,2011-09-20
594,12573417,0,2772,0,2.05E-04,3.11E-02,018,2011-09-20
303,8037800,0,932,0,2.00E-04,1.29E-02,018,2011-09-20
182,9715630,0,1703,0,3.44E-04,1.44E-02,018,2011-09-20
759,7970996,0,1304,0,3.45E-04,1.36E-02,018,2011-09-20
1018,4492995,0,741,0,2.04E-04,1.04E-02,018,2011-09-20
151,4948742,0,385,0,1.91E-04,5.80E-03,018,2011-09-20
998,11470619,0,889,0,2.11E-04,1.17E-02,018,2011-09-20
342,8548487,0,644,0,1.98E-04,8.89E-03,018,2011-09-20
998,4956628,0,367,0,1.87E-04,5.59E-03,018,2011-09-20
998,5698153,0,544,0,1.97E-04,7.63E-03,018,2011-09-20
998,12581826,0,877,0,1.88E-04,1.14E-02,018,2011-09-20
818,5772604,0,475,0,2.38E-04,5.91E-03,018,2011-09-20
881,6629899,0,537,0,3.18E-04,5.59E-03,018,2011-09-20
998,10223838,0,848,0,2.74E-04,1.15E-02,018,2011-09-20
250,7939989,0,594,0,2.38E-04,2.12E-02,018,2011-09-20
624,12568033,0,859,0,3.33E-04,1.25E-02,018,2011-09-20
227,4734554,0,343,0,2.18E-04,4.81E-03,018,2011-09-20
493,7435058,28740,631,7,1.92E-04,9.47E-03,018,2011-09-20
432,4458852,2605554,593,444,3.43E-04,2.31E-02,018,2011-09-21
305,11410760,2675022,1067,332,4.18E-04,2.69E-02,018,2011-09-21
298,11154972,7454626,1290,1025,2.01E-04,7.99E-02,018,2011-09-21
357,12569144,8230204,1475,1164,1.83E-04,8.64E-02,018,2011-09-21
426,12579855,7204656,1349,991,2.16E-04,4.92E-02,018,2011-09-21
942,6797346,4138223,736,564,2.36E-04,2.79E-02,018,2011-09-21
64,12581014,6379477,1433,864,2.31E-04,3.68E-02,018,2011-09-21
594,12334790,7958961,1438,1130,1.78E-04,5.18E-02,018,2011-09-21
993,10013778,6475934,1130,879,2.30E-04,4.23E-02,018,2011-09-21
993,10891751,3413250,1209,409,2.50E-04,3.65E-02,018,2011-09-21
993,8645698,0,1050,0,1.91E-04,1.37E-02,018,2011-09-21
482,8369268,0,961,0,2.39E-04,1.33E-02,018,2011-09-21
67,12572696,0,1449,0,4.15E-04,1.56E-02,018,2011-09-21
168,9855088,0,1145,0,2.41E-04,1.06E-02,018,2011-09-21
992,12582085,0,1341,0,2.02E-04,1.66E-02,018,2011-09-21
1013,12575648,0,1422,0,2.27E-04,2.04E-02,018,2011-09-21
182,4973598,0,576,0,2.11E-04,6.28E-03,018,2011-09-21
900,12579454,0,2105,0,2.24E-04,2.52E-02,018,2011-09-21
445,12582077,0,1438,0,1.85E-04,1.75E-02,018,2011-09-21
107,12575203,0,1122,0,3.16E-04,1.20E-02,018,2011-09-21
3,9044594,0,683,0,2.03E-04,7.81E-03,018,2011-09-21
16,8616661,0,899,0,1.90E-04,1.03E-02,018,2011-09-21
170,12581848,0,1330,0,1.81E-04,1.16E-02,018,2011-09-21
456,7850189,0,836,0,1.91E-04,1.10E-02,018,2011-09-21
88,12580014,0,1349,0,2.00E-04,1.38E-02,018,2011-09-21
81,12578928,0,1458,0,2.13E-04,1.47E-02,018,2011-09-21
226,12581968,0,1318,0,1.98E-04,1.08E-02,018,2011-09-21
599,8638816,0,902,0,1.92E-04,1.26E-02,018,2011-09-21
88,12580432,0,1380,0,2.02E-04,1.42E-02,018,2011-09-21
740,12576256,0,1393,0,1.92E-04,1.56E-02,018,2011-09-21
80,7821631,0,816,0,1.86E-04,1.01E-02,018,2011-09-21
594,12573417,0,2772,0,1.87E-04,3.35E-02,018,2011-09-21
303,8037800,0,932,0,2.29E-04,1.30E-02,018,2011-09-21
182,9715630,0,1703,0,1.94E-04,1.37E-02,018,2011-09-21
759,7970996,0,1304,0,1.78E-04,1.45E-02,018,2011-09-21
1018,4492995,0,741,0,1.79E-04,1.06E-02,018,2011-09-21
151,4948742,0,385,0,1.87E-04,5.07E-03,018,2011-09-21
998,11470619,0,889,0,1.95E-04,3.03E-02,018,2011-09-21
342,8548487,0,644,0,3.57E-04,1.02E-02,018,2011-09-21
998,4956628,0,367,0,3.43E-04,5.95E-03,018,2011-09-21
998,5698153,0,544,0,1.86E-04,7.75E-03,018,2011-09-21
998,12581826,0,877,0,1.85E-04,1.13E-02,018,2011-09-21
818,5772604,0,475,0,1.86E-04,6.14E-03,018,2011-09-21
881,6629899,0,537,0,1.87E-04,6.55E-03,018,2011-09-21
998,10223838,0,848,0,1.91E-04,1.08E-02,018,2011-09-21
250,7939989,0,594,0,1.83E-04,6.44E-03,018,2011-09-21
624,12568033,0,859,0,1.92E-04,1.19E-02,018,2011-09-21
227,4734554,0,343,0,1.96E-04,4.40E-03,018,2011-09-21
493,7436362,22345,632,4,1.94E-04,1.01E-02,018,2011-09-21
861,4480503,2600507,610,443,3.65E-04,1.51E-02,018,2011-09-22
305,12568567,5530610,1388,736,2.04E-04,3.97E-02,018,2011-09-22
724,5708282,3481130,610,466,1.78E-04,2.18E-02,018,2011-09-22
171,5093400,2981636,550,416,2.16E-04,1.30E-02,018,2011-09-22
527,10538806,6356690,1139,854,1.93E-04,4.05E-02,018,2011-09-22
305,5821732,3481654,637,472,1.66E-04,2.48E-02,018,2011-09-22
127,12574073,7948069,1502,1148,1.88E-04,4.72E-02,018,2011-09-22
314,6426256,4167861,714,568,1.86E-04,3.27E-02,018,2011-09-22
993,10013778,0,1130,0,1.76E-04,1.50E-02,018,2011-09-22
993,10891751,0,1209,0,2.28E-04,1.60E-02,018,2011-09-22
993,8645698,0,1050,0,3.98E-04,1.38E-02,018,2011-09-22
482,8369268,0,961,0,1.76E-04,1.29E-02,018,2011-09-22
67,12572696,0,1449,0,1.79E-04,1.57E-02,018,2011-09-22
168,9855088,0,1145,0,1.92E-04,9.72E-03,018,2011-09-22
992,12582085,0,1341,0,1.91E-04,1.76E-02,018,2011-09-22
1013,12575648,0,1422,0,1.81E-04,1.75E-02,018,2011-09-22
182,4973598,0,576,0,1.93E-04,6.70E-03,018,2011-09-22
900,12573132,176289,2046,41,2.27E-04,2.69E-02,018,2011-09-22
736,12199628,3457126,1036,491,1.75E-04,3.19E-02,018,2011-09-22
298,10198339,6159451,1156,871,2.49E-04,4.23E-02,018,2011-09-22
709,12566793,0,1076,0,2.47E-04,1.22E-02,018,2011-09-22
754,7868798,0,610,0,2.25E-04,7.63E-03,018,2011-09-22
16,8616661,0,899,0,2.21E-04,1.10E-02,018,2011-09-22
170,12581848,0,1330,0,3.87E-04,1.24E-02,018,2011-09-22
456,7850189,0,836,0,1.98E-04,1.14E-02,018,2011-09-22
88,12580014,0,1349,0,1.98E-04,1.38E-02,018,2011-09-22
81,12578928,0,1458,0,2.88E-04,1.80E-02,018,2011-09-22
226,12581968,0,1318,0,3.66E-04,1.45E-02,018,2011-09-22
599,8638816,0,902,0,4.91E-04,1.51E-02,018,2011-09-22
88,12580432,0,1380,0,3.76E-04,1.58E-02,018,2011-09-22
740,12576256,0,1393,0,3.41E-04,1.56E-02,018,2011-09-22
80,7821631,0,816,0,1.98E-04,9.48E-03,018,2011-09-22
594,12573417,0,2772,0,3.17E-04,3.34E-02,018,2011-09-22
303,8037800,5017,932,1,2.34E-04,1.28E-02,018,2011-09-22
182,9719795,31572,1703,3,1.98E-04,1.47E-02,018,2011-09-22
759,7970996,0,1304,0,1.96E-04,1.45E-02,018,2011-09-22
1018,4492995,0,741,0,2.00E-04,1.04E-02,018,2011-09-22
151,4948742,0,385,0,1.76E-04,5.02E-03,018,2011-09-22
998,11470619,0,889,0,1.85E-04,1.58E-02,018,2011-09-22
342,8548487,0,644,0,2.26E-04,9.15E-03,018,2011-09-22
998,4956628,0,367,0,2.01E-04,6.03E-03,018,2011-09-22
998,5698153,0,544,0,2.03E-04,7.66E-03,018,2011-09-22
998,12581826,0,877,0,1.85E-04,1.13E-02,018,2011-09-22
818,5772604,0,475,0,1.95E-04,5.74E-03,018,2011-09-22
881,6629899,0,537,0,1.86E-04,5.88E-03,018,2011-09-22
998,10223838,0,848,0,1.86E-04,1.11E-02,018,2011-09-22
250,7939989,0,594,0,2.25E-04,6.68E-03,018,2011-09-22
624,12568033,0,859,0,2.06E-04,1.18E-02,018,2011-09-22
227,4734554,0,343,0,1.87E-04,4.26E-03,018,2011-09-22
493,7439228,41410,634,8,1.97E-04,9.68E-03,018,2011-09-22
561,4521575,2657663,612,445,3.11E-04,2.51E-02,018,2011-09-24
305,12577398,3244574,1331,424,1.79E-04,3.38E-02,018,2011-09-24
734,9539577,6140374,1129,869,1.77E-04,3.32E-02,018,2011-09-24
525,12468517,8073100,1452,1149,1.81E-04,5.33E-02,018,2011-09-24
243,9657104,5811231,1039,785,1.68E-04,2.01E-02,018,2011-09-24
1022,12581207,7578986,1356,1021,1.91E-04,4.87E-02,018,2011-09-24
579,12582532,7697163,1373,1029,2.27E-04,4.95E-02,018,2011-09-24
830,12581897,8032099,1533,1181,1.70E-04,3.08E-02,018,2011-09-24
503,12582861,7405558,1404,983,1.78E-04,4.87E-02,018,2011-09-24
647,12166246,7444999,1346,1001,1.98E-04,3.95E-02,018,2011-09-24
993,8645698,0,1050,0,1.78E-04,1.40E-02,018,2011-09-24
482,8369268,0,961,0,1.81E-04,1.27E-02,018,2011-09-24
67,12572696,0,1449,0,1.87E-04,1.54E-02,018,2011-09-24
168,9855088,0,1145,0,1.68E-04,1.03E-02,018,2011-09-24
992,12582085,0,1341,0,3.02E-04,1.70E-02,018,2011-09-24
1013,12575648,0,1422,0,2.72E-04,1.74E-02,018,2011-09-24
182,4973598,0,576,0,2.27E-04,5.78E-03,018,2011-09-24
900,12573515,32924,2046,9,3.11E-04,2.56E-02,018,2011-09-24
736,12218057,49777,1038,7,2.79E-04,1.20E-02,018,2011-09-24
298,10198339,0,1156,0,2.28E-04,1.50E-02,018,2011-09-24
709,12566793,0,1076,0,2.11E-04,1.14E-02,018,2011-09-24
754,7868798,0,610,0,1.97E-04,7.54E-03,018,2011-09-24
16,8616661,0,899,0,1.96E-04,1.08E-02,018,2011-09-24
170,12581848,0,1330,0,2.01E-04,1.26E-02,018,2011-09-24
456,7850189,0,836,0,2.23E-04,1.14E-02,018,2011-09-24
88,12580014,0,1349,0,1.95E-04,1.48E-02,018,2011-09-24
81,12578928,0,1458,0,1.91E-04,1.56E-02,018,2011-09-24
226,12581968,0,1318,0,1.87E-04,1.07E-02,018,2011-09-24
599,8638816,0,902,0,2.02E-04,1.21E-02,018,2011-09-24
88,12580432,0,1380,0,1.97E-04,1.40E-02,018,2011-09-24
740,12576256,0,1393,0,2.04E-04,1.42E-02,018,2011-09-24
80,7821631,0,816,0,2.12E-04,9.33E-03,018,2011-09-24
594,12573417,0,2772,0,2.01E-04,3.09E-02,018,2011-09-24
303,8037800,0,932,0,2.92E-04,1.28E-02,018,2011-09-24
182,9719795,0,1703,0,2.72E-04,1.43E-02,018,2011-09-24
759,7970996,0,1304,0,2.47E-04,1.46E-02,018,2011-09-24
